ID;24202puebel;24222puebel;24230puebel;24231puebel;24233puebel;24235puebel;24236puebel;24237puebel;24238puebel;24239puebel;24241puebel;24242puebel;24243puebel;24244puebel;24245puebel;24246puebel;24247puebel;24248puebel;24249puebel;24250puebel;24251puebel;24256puebel;24259puebel;24260puebel;24261puebel;24262puebel;24263puebel;24264puebel;24265puebel;24266puebel;24267puebel;24269puebel;24270puebel;24271puebel;24272puebel;24273puebel;24274puebel;24275puebel;24276puebel;24281puebel;24282puebel;24283puebel;24284puebel;24285puebel;24286puebel;24290puebel;24297puebel;24299puebel;24300puebel
24222puebel;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24230puebel;180;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24231puebel;177.5;22.5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24233puebel;172.5;27.5;7.5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24235puebel;167.5;32.5;12.5;10;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24236puebel;165;35;15;12.5;7.5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24237puebel;162.5;37.5;17.5;15;10;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24238puebel;160;40;20;17.5;12.5;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24239puebel;157.5;42.5;22.5;20;15;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24241puebel;152.5;47.5;27.5;25;20;15;12.5;10;7.5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24242puebel;150;50;30;27.5;22.5;17.5;15;12.5;10;7.5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24243puebel;147.5;52.5;32.5;30;25;20;17.5;15;12.5;10;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24244puebel;145;55;35;32.5;27.5;22.5;20;17.5;15;12.5;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24245puebel;142.5;57.5;37.5;35;30;25;22.5;20;17.5;15;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24246puebel;140;60;40;37.5;32.5;27.5;25;22.5;20;17.5;12.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24247puebel;137.5;62.5;42.5;40;35;30;27.5;25;22.5;20;15;12.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24248puebel;135;65;45;42.5;37.5;32.5;30;27.5;25;22.5;17.5;15;12.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24249puebel;132.5;67.5;47.5;45;40;35;32.5;30;27.5;25;20;17.5;15;12.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24250puebel;130;70;50;47.5;42.5;37.5;35;32.5;30;27.5;22.5;20;17.5;15;12.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24251puebel;127.5;72.5;52.5;50;45;40;37.5;35;32.5;30;25;22.5;20;17.5;15;12.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24256puebel;115;85;65;62.5;57.5;52.5;50;47.5;45;42.5;37.5;35;32.5;30;27.5;25;22.5;20;17.5;15;12.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24259puebel;107.5;92.5;72.5;70;65;60;57.5;55;52.5;50;45;42.5;40;37.5;35;32.5;30;27.5;25;22.5;20;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;
24260puebel;105;95;75;72.5;67.5;62.5;60;57.5;55;52.5;47.5;45;42.5;40;37.5;35;32.5;30;27.5;25;22.5;10;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;
24261puebel;102.5;97.5;77.5;75;70;65;62.5;60;57.5;55;50;47.5;45;42.5;40;37.5;35;32.5;30;27.5;25;12.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;
24262puebel;100;100;80;77.5;72.5;67.5;65;62.5;60;57.5;52.5;50;47.5;45;42.5;40;37.5;35;32.5;30;27.5;15;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;;
24263puebel;97.5;102.5;82.5;80;75;70;67.5;65;62.5;60;55;52.5;50;47.5;45;42.5;40;37.5;35;32.5;30;17.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;;
24264puebel;95;105;85;82.5;77.5;72.5;70;67.5;65;62.5;57.5;55;52.5;50;47.5;45;42.5;40;37.5;35;32.5;20;12.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;;
24265puebel;92.5;107.5;87.5;85;80;75;72.5;70;67.5;65;60;57.5;55;52.5;50;47.5;45;42.5;40;37.5;35;22.5;15;12.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;;
24266puebel;90;110;90;87.5;82.5;77.5;75;72.5;70;67.5;62.5;60;57.5;55;52.5;50;47.5;45;42.5;40;37.5;25;17.5;15;12.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;;
24267puebel;87.5;112.5;92.5;90;85;80;77.5;75;72.5;70;65;62.5;60;57.5;55;52.5;50;47.5;45;42.5;40;27.5;20;17.5;15;12.5;10;7.5;5;2.5;;;;;;;;;;;;;;;;;;;
24269puebel;82.5;117.5;97.5;95;90;85;82.5;80;77.5;75;70;67.5;65;62.5;60;57.5;55;52.5;50;47.5;45;32.5;25;22.5;20;17.5;15;12.5;10;7.5;5;;;;;;;;;;;;;;;;;;
24270puebel;80;120;100;97.5;92.5;87.5;85;82.5;80;77.5;72.5;70;67.5;65;62.5;60;57.5;55;52.5;50;47.5;35;27.5;25;22.5;20;17.5;15;12.5;10;7.5;2.5;;;;;;;;;;;;;;;;;
24271puebel;77.5;122.5;102.5;100;95;90;87.5;85;82.5;80;75;72.5;70;67.5;65;62.5;60;57.5;55;52.5;50;37.5;30;27.5;25;22.5;20;17.5;15;12.5;10;5;2.5;;;;;;;;;;;;;;;;
24272puebel;75;125;105;102.5;97.5;92.5;90;87.5;85;82.5;77.5;75;72.5;70;67.5;65;62.5;60;57.5;55;52.5;40;32.5;30;27.5;25;22.5;20;17.5;15;12.5;7.5;5;2.5;;;;;;;;;;;;;;;
24273puebel;72.5;127.5;107.5;105;100;95;92.5;90;87.5;85;80;77.5;75;72.5;70;67.5;65;62.5;60;57.5;55;42.5;35;32.5;30;27.5;25;22.5;20;17.5;15;10;7.5;5;2.5;;;;;;;;;;;;;;
24274puebel;70;130;110;107.5;102.5;97.5;95;92.5;90;87.5;82.5;80;77.5;75;72.5;70;67.5;65;62.5;60;57.5;45;37.5;35;32.5;30;27.5;25;22.5;20;17.5;12.5;10;7.5;5;2.5;;;;;;;;;;;;;
24275puebel;67.5;132.5;112.5;110;105;100;97.5;95;92.5;90;85;82.5;80;77.5;75;72.5;70;67.5;65;62.5;60;47.5;40;37.5;35;32.5;30;27.5;25;22.5;20;15;12.5;10;7.5;5;2.5;;;;;;;;;;;;
24276puebel;65;135;115;112.5;107.5;102.5;100;97.5;95;92.5;87.5;85;82.5;80;77.5;75;72.5;70;67.5;65;62.5;50;42.5;40;37.5;35;32.5;30;27.5;25;22.5;17.5;15;12.5;10;7.5;5;2.5;;;;;;;;;;;
24281puebel;52.5;147.5;127.5;125;120;115;112.5;110;107.5;105;100;97.5;95;92.5;90;87.5;85;82.5;80;77.5;75;62.5;55;52.5;50;47.5;45;42.5;40;37.5;35;30;27.5;25;22.5;20;17.5;15;12.5;;;;;;;;;;
24282puebel;50;150;130;127.5;122.5;117.5;115;112.5;110;107.5;102.5;100;97.5;95;92.5;90;87.5;85;82.5;80;77.5;65;57.5;55;52.5;50;47.5;45;42.5;40;37.5;32.5;30;27.5;25;22.5;20;17.5;15;2.5;;;;;;;;;
24283puebel;47.5;152.5;132.5;130;125;120;117.5;115;112.5;110;105;102.5;100;97.5;95;92.5;90;87.5;85;82.5;80;67.5;60;57.5;55;52.5;50;47.5;45;42.5;40;35;32.5;30;27.5;25;22.5;20;17.5;5;2.5;;;;;;;;
24284puebel;45;155;135;132.5;127.5;122.5;120;117.5;115;112.5;107.5;105;102.5;100;97.5;95;92.5;90;87.5;85;82.5;70;62.5;60;57.5;55;52.5;50;47.5;45;42.5;37.5;35;32.5;30;27.5;25;22.5;20;7.5;5;2.5;;;;;;;
24285puebel;42.5;157.5;137.5;135;130;125;122.5;120;117.5;115;110;107.5;105;102.5;100;97.5;95;92.5;90;87.5;85;72.5;65;62.5;60;57.5;55;52.5;50;47.5;45;40;37.5;35;32.5;30;27.5;25;22.5;10;7.5;5;2.5;;;;;;
24286puebel;40;160;140;137.5;132.5;127.5;125;122.5;120;117.5;112.5;110;107.5;105;102.5;100;97.5;95;92.5;90;87.5;75;67.5;65;62.5;60;57.5;55;52.5;50;47.5;42.5;40;37.5;35;32.5;30;27.5;25;12.5;10;7.5;5;2.5;;;;;
24290puebel;30;170;150;147.5;142.5;137.5;135;132.5;130;127.5;122.5;120;117.5;115;112.5;110;107.5;105;102.5;100;97.5;85;77.5;75;72.5;70;67.5;65;62.5;60;57.5;52.5;50;47.5;45;42.5;40;37.5;35;22.5;20;17.5;15;12.5;10;;;;
24297puebel;12.5;187.5;167.5;165;160;155;152.5;150;147.5;145;140;137.5;135;132.5;130;127.5;125;122.5;120;117.5;115;102.5;95;92.5;90;87.5;85;82.5;80;77.5;75;70;67.5;65;62.5;60;57.5;55;52.5;40;37.5;35;32.5;30;27.5;17.5;;;
24299puebel;7.5;192.5;172.5;170;165;160;157.5;155;152.5;150;145;142.5;140;137.5;135;132.5;130;127.5;125;122.5;120;107.5;100;97.5;95;92.5;90;87.5;85;82.5;80;75;72.5;70;67.5;65;62.5;60;57.5;45;42.5;40;37.5;35;32.5;22.5;5;;
24300puebel;5;195;175;172.5;167.5;162.5;160;157.5;155;152.5;147.5;145;142.5;140;137.5;135;132.5;130;127.5;125;122.5;110;102.5;100;97.5;95;92.5;90;87.5;85;82.5;77.5;75;72.5;70;67.5;65;62.5;60;47.5;45;42.5;40;37.5;35;25;7.5;2.5;
